FrameId,Id,X,Y,Width,Height,Confidence,Class
1,1,463.262573,241.337158,207.477051,275.648865,0.771111,0
2,1,464.778778,244.665024,206.722809,268.075500,0.782351,0
3,1,462.911774,254.503998,210.278229,263.450409,0.767808,0
4,1,472.768707,246.995987,199.928680,265.486572,0.768752,0
5,1,477.919891,250.986816,193.390289,260.690857,0.767539,0
6,1,484.261017,251.220551,190.687286,258.920807,0.751136,0
7,1,482.859222,251.536377,187.428375,260.519409,0.693365,0
8,1,484.334045,254.204346,183.108276,256.984009,0.764533,0
9,1,482.395294,254.386154,190.760284,257.623718,0.624056,0
10,1,488.796082,249.640884,196.253967,252.979019,0.721271,0
10,2,489.702454,646.187744,244.626038,241.106750,0.506051,0
11,1,496.482788,242.316895,210.769226,246.643860,0.677296,0
11,2,494.714355,649.133057,247.378601,243.672058,0.513099,0
12,1,491.912811,233.020126,228.806061,296.447327,0.739916,0
12,2,492.441559,643.866028,246.261444,244.422302,0.266214,0
13,1,496.143372,232.762115,230.136780,309.234222,0.721040,0
13,2,519.368958,655.961365,228.125427,234.517334,0.183964,0
14,1,496.712189,244.023056,235.365143,308.315918,0.600767,0
14,2,524.492065,654.713074,223.707581,233.859619,0.246689,0
15,1,493.397583,241.198242,245.370300,313.265991,0.761785,0
15,2,508.681305,650.314270,235.927216,235.193481,0.502610,0
16,1,494.076233,248.650986,244.958252,301.758972,0.749408,0
16,2,505.265411,654.582886,241.371857,230.715820,0.636276,0
17,1,496.461395,260.491638,245.445648,294.436584,0.674431,0
17,2,503.001770,655.841431,236.656738,228.530701,0.513302,0
18,1,497.174744,255.929718,248.689087,301.395111,0.781143,0
18,2,501.359894,654.468994,240.794220,230.884583,0.536095,0
19,1,493.570160,252.890182,250.034576,301.617371,0.739088,0
19,2,494.116241,648.834167,242.299713,236.357727,0.550295,0
20,1,494.488983,258.995728,248.217194,288.174866,0.783899,0
20,2,495.199799,651.661987,241.620453,231.209167,0.624931,0
21,1,494.765747,253.914062,248.846802,298.852844,0.721204,0
21,2,494.710205,653.567871,239.319763,229.925476,0.651424,0
22,1,494.859039,256.464325,245.597260,301.568024,0.743282,0
22,2,493.873993,654.713257,239.623566,228.889160,0.660970,0
23,1,499.745117,261.863007,251.780640,301.549713,0.748509,0
23,2,494.342987,653.563660,249.824677,238.447449,0.247319,0
23,3,1118.534668,436.218140,135.166504,155.085205,0.587069,0
24,1,495.595459,273.917603,256.954773,286.833252,0.732348,0
24,2,490.471588,655.017273,246.015106,234.667603,0.617729,0
24,3,1122.555542,421.065552,131.231934,165.899414,0.144920,0
25,1,490.733551,282.857391,254.083893,287.593170,0.677073,0
25,2,491.502380,656.104919,244.293884,229.754272,0.674428,0
25,3,1125.996460,420.422577,130.875610,172.100372,0.556328,0
26,1,496.653229,279.595856,249.457062,293.425323,0.738094,0
26,2,493.580261,656.926697,241.691467,227.848450,0.637932,0
26,3,1129.647949,420.319122,126.869385,173.687531,0.202964,0
27,1,496.572693,286.047058,249.786987,289.783142,0.553855,0
27,2,497.025085,648.426392,260.149658,244.226196,0.176429,0
28,1,499.217285,316.259399,234.947998,259.157776,0.626910,0
28,2,499.510773,652.654663,266.463837,244.262146,0.185263,0
29,1,503.008118,289.719788,252.398682,279.789246,0.645335,0
29,2,499.695740,652.555481,265.300598,240.956665,0.347422,0
30,1,504.807922,275.391541,261.036621,287.921814,0.658591,0
30,2,501.401703,649.167175,263.591400,243.774902,0.152025,0
31,1,505.100067,275.456116,260.231476,289.672363,0.178649,0
31,2,502.783997,653.616760,248.667603,233.492859,0.582664,0
32,1,504.072266,311.776276,226.155090,248.515778,0.220749,0
32,2,496.861115,656.842468,246.312592,230.617737,0.614080,0
33,1,503.234863,306.468445,230.676758,248.076294,0.570952,0
33,2,494.754150,656.914185,244.507690,230.585449,0.588887,0
34,1,504.235992,334.917511,215.368744,211.479767,0.725322,0
34,2,494.896667,659.027222,262.583557,230.823853,0.406551,0
35,1,514.312439,339.826752,210.842773,219.092010,0.574740,0
35,2,494.824921,660.777649,267.355621,233.106140,0.462773,0
36,1,516.031372,359.003326,176.779480,194.266998,0.718908,0
36,2,512.062500,659.796326,253.452759,233.333923,0.459465,0
37,1,517.184814,367.715393,164.578918,191.857666,0.695332,0
37,2,502.154480,660.830322,241.847412,230.356201,0.664059,0
38,1,515.032471,373.574768,160.975830,186.339600,0.770258,0
38,2,498.496277,660.396912,256.734131,236.027283,0.407854,0
39,1,513.270935,368.221649,173.130615,195.172638,0.731686,0
39,2,496.261475,655.958435,244.934692,236.284424,0.417271,0
40,1,514.328125,366.407501,184.296570,202.317902,0.329884,0
40,2,496.264801,653.518188,236.528351,241.426025,0.441719,0
41,1,512.295654,336.012878,204.974731,234.973389,0.542860,0
41,2,494.923309,654.140320,251.441559,239.005676,0.574514,0
42,1,512.570862,355.988556,195.546692,211.537933,0.504063,0
42,2,494.869812,655.367493,246.255737,237.410156,0.653541,0
43,1,510.998016,329.907135,219.677460,241.842987,0.269192,0
43,2,498.369507,655.884827,243.110779,232.905151,0.673214,0
44,1,510.224976,324.116547,239.414490,252.191193,0.589693,0
44,2,491.084564,657.838501,249.547943,230.175232,0.707854,0
45,1,511.587463,320.382843,225.007019,253.281158,0.530020,0
45,2,491.241119,656.149658,251.550201,230.928406,0.597954,0
46,1,533.936157,322.668823,204.272217,237.014404,0.270832,0
46,2,488.869720,655.151062,250.444550,226.871521,0.578168,0
47,1,541.025269,317.766479,195.937805,233.678528,0.378287,0
47,2,490.587280,656.077087,244.393005,228.345215,0.649288,0
48,1,534.186340,329.655487,218.866760,228.920197,0.383461,0
48,2,489.627075,652.624939,243.408325,229.069702,0.677527,0
49,1,537.510986,333.922180,222.673523,228.296631,0.452558,0
49,2,491.220917,654.569397,243.231476,226.985229,0.664919,0
50,1,544.031250,336.503784,211.375671,232.443176,0.435237,0
50,2,493.067688,657.061707,240.935425,220.039307,0.695360,0
51,1,545.394836,335.690674,215.742065,234.253784,0.434327,0
51,2,494.016266,657.919067,241.651154,225.801208,0.454927,0
52,1,551.426819,337.985168,218.932922,230.960266,0.328202,0
52,2,493.244720,657.221069,242.262970,227.065186,0.671203,0
