FrameId,Id,X,Y,Width,Height,Confidence,Class
1,1,463.262573,241.337158,207.477051,275.648865,0.771111,0
2,1,464.969696,245.124481,206.608307,266.949005,0.782351,0
3,1,462.210632,256.860077,211.337952,262.746613,0.767808,0
4,1,476.098694,243.491821,196.161438,266.949677,0.768752,0
5,1,478.552429,252.213470,192.125061,259.461029,0.767539,0
6,1,485.179657,250.741653,191.058014,259.122498,0.751136,0
6,2,494.987244,650.850891,250.793152,241.548401,0.368590,0
7,1,480.706360,251.218445,187.494324,262.020081,0.693365,0
8,1,483.890564,255.145233,182.720459,255.898529,0.764533,0
8,2,489.955078,650.170044,237.902893,233.027039,0.557599,0
9,2,491.218414,649.605957,242.006500,236.336487,0.632560,0
9,1,480.154114,253.898743,195.675964,258.731934,0.624056,0
10,1,490.983124,246.920685,199.710846,251.400055,0.721271,0
10,2,489.274536,645.302002,245.271423,242.318848,0.506051,0
11,1,499.024261,238.952194,218.357452,244.456039,0.677296,0
11,2,496.226715,650.089722,248.234222,244.437561,0.513099,0
12,1,487.711884,229.120255,237.759247,320.871887,0.739916,0
12,2,491.062775,641.863159,245.537018,244.313171,0.266214,0
13,1,497.315918,233.860306,228.922241,314.010559,0.721040,0
14,1,495.725586,251.452469,236.454590,304.560547,0.600767,0
15,1,490.338623,240.102188,248.976562,313.199890,0.761785,0
15,2,499.705017,647.861023,242.530090,236.488953,0.502610,0
16,1,493.439453,253.189636,242.530334,292.746887,0.749408,0
16,2,502.604126,656.288513,244.446228,229.264038,0.636276,0
17,1,496.583801,266.453522,243.837830,289.039276,0.674431,0
17,2,501.033142,655.885742,234.460205,228.438416,0.513302,0
17,3,1126.480835,420.930389,137.499634,157.840912,0.390826,0
18,1,496.636047,252.936859,248.618347,303.769562,0.781143,0
18,2,500.216736,653.216431,243.027466,232.835205,0.536095,0
18,4,537.238464,401.817871,237.221008,226.770447,0.361101,0
18,3,1124.285889,414.620392,137.794922,170.214630,0.359449,0
19,1,490.738586,251.314789,249.127014,300.155304,0.739088,0
19,2,490.499725,646.074646,243.140778,239.503174,0.550295,0
20,1,494.318573,262.156799,245.611847,279.810669,0.783899,0
20,2,496.021057,653.204773,241.195190,228.751831,0.624931,0
20,3,1123.666016,425.925049,134.125488,163.217285,0.409424,0
21,1,494.450745,250.856033,247.711609,303.717590,0.721204,0
21,2,494.710632,654.152771,238.043823,229.755676,0.651424,0
21,3,1120.666016,439.287445,138.186035,150.916595,0.480180,0
22,1,494.698547,257.632172,242.456604,301.918243,0.743282,0
22,3,1118.500977,437.806885,135.666626,155.526184,0.702072,0
22,2,493.899506,654.795959,239.741486,228.810425,0.660970,0
23,1,501.697998,264.515198,254.098633,300.493530,0.748509,0
23,3,1118.552124,435.800598,135.061768,154.978760,0.587069,0
24,1,492.790375,279.712158,258.501862,278.186646,0.732348,0
24,2,488.772461,655.579590,243.405945,232.453125,0.617729,0
25,1,487.675476,286.112457,251.119995,287.995880,0.677073,0
25,2,492.324554,656.364502,243.120148,227.393127,0.674428,0
25,3,1126.381836,422.569214,131.260254,172.510742,0.556328,0
26,1,499.479950,276.447510,246.015472,296.414368,0.738094,0
26,2,494.724792,657.123169,240.244324,227.311523,0.637932,0
27,1,496.080933,288.186493,249.271790,287.501740,0.553855,0
28,1,500.022400,330.374146,226.705750,243.517151,0.626910,0
29,1,504.371338,275.432068,261.064819,290.352722,0.645335,0
29,2,499.600739,652.574280,263.357635,238.642822,0.347422,0
30,1,505.163391,266.884949,264.883118,292.372925,0.658591,0
31,2,502.957977,656.289062,240.068817,227.751526,0.582664,0
31,1,503.557495,321.500366,220.209717,238.612976,0.464468,0
32,2,493.783295,658.432251,245.157990,229.323669,0.614080,0
33,2,493.418091,656.627136,243.734741,230.993591,0.588887,0
33,1,502.210236,302.452148,233.428925,249.547729,0.570952,0
34,1,504.451660,347.146057,208.087097,195.517639,0.725322,0
34,2,495.164124,659.686157,271.818481,231.245972,0.406551,0
35,1,518.432556,339.357910,210.020752,225.065369,0.574740,0
35,2,494.745636,661.323792,269.050018,234.545227,0.462773,0
36,1,515.817932,365.236359,162.041077,185.060455,0.718908,0
36,2,521.298035,658.808228,244.860779,233.594055,0.459465,0
36,3,1123.636230,415.852966,127.187134,169.369812,0.297680,0
37,1,516.873230,368.108948,162.616028,194.157227,0.695332,0
37,2,496.471375,661.085327,235.905273,228.895325,0.664059,0
38,1,513.349792,372.610382,162.661072,187.119293,0.770258,0
38,2,496.458160,659.799194,264.347809,239.133057,0.407854,0
39,1,512.130798,362.661987,181.385925,202.121826,0.731686,0
39,2,495.320251,653.514465,238.075928,236.228271,0.417271,0
40,2,496.373352,652.069397,232.583191,244.006897,0.441719,0
40,1,514.482544,362.541687,191.818359,208.132812,0.329884,0
41,2,494.436371,654.704468,259.354279,237.303894,0.574514,0
41,4,510.819305,318.292877,216.764984,253.078156,0.542860,0
41,1,514.676941,370.947052,184.436279,199.803558,0.389666,0
42,2,495.095062,656.240234,243.210114,236.327698,0.653541,0
42,1,512.453247,367.810303,189.668823,196.777344,0.504063,0
42,4,510.354065,313.483673,217.240784,253.648773,0.401050,0
43,2,500.411560,655.882690,241.465515,230.483032,0.673214,0
43,1,509.199860,376.600952,151.068573,187.397034,0.480121,0
43,4,510.128479,316.257629,231.790894,256.721985,0.269192,0
44,2,487.772339,658.791748,252.952515,228.849854,0.707854,0
44,4,510.039459,321.247711,249.497467,256.827423,0.589693,0
45,2,491.949677,655.108276,252.367462,231.530273,0.597954,0
45,4,512.565430,318.972229,213.991394,252.105347,0.530020,0
46,2,487.831299,654.686707,249.633545,225.075806,0.578168,0
47,2,492.113464,656.634033,241.095642,229.437378,0.649288,0
47,4,543.479919,315.964386,191.807434,231.401031,0.378287,0
48,2,489.577820,650.850098,243.080200,229.677307,0.677527,0
48,4,529.663025,336.518372,230.208740,226.099854,0.383461,0
49,2,492.288513,655.820190,243.352539,226.163208,0.664919,0
49,4,538.448303,336.156799,223.596619,227.958740,0.452558,0
49,7,823.182617,749.334595,122.025452,121.485474,0.404983,0
50,2,494.010468,658.265198,239.944855,216.906250,0.695360,0
50,4,546.460815,337.476959,203.950989,234.606842,0.435237,0
51,2,494.447937,658.122803,242.266907,229.297424,0.454927,0
51,4,544.882080,334.821167,217.383667,234.968445,0.434327,0
52,2,492.664612,656.686218,242.811584,228.053650,0.671203,0
52,4,553.324951,338.841980,219.910522,228.992310,0.328202,0
53,4,538.779541,344.408875,253.524658,249.589417,0.497396,0
54,4,542.572083,362.536194,277.085327,256.986389,0.630257,0
54,2,494.801819,663.024353,238.485718,227.865784,0.519967,0
55,4,536.109070,358.192749,264.763489,223.488953,0.674984,0
55,2,494.656738,654.781921,238.143799,234.798157,0.523613,0
56,4,535.354126,381.643890,241.075500,207.412384,0.699196,0
56,2,495.900146,664.921814,234.159058,225.742126,0.479679,0
57,4,548.391113,385.290802,280.943481,225.360443,0.708278,0
57,2,492.347534,649.779541,241.697510,235.670410,0.582466,0
58,4,550.516174,392.863129,276.554993,224.754425,0.742575,0
58,2,493.342407,654.166504,241.334778,232.782959,0.449329,0
59,4,639.379700,402.936646,209.401917,198.977356,0.655516,0
59,2,496.148712,655.156860,243.039581,241.845459,0.319684,0
60,4,606.663696,386.363953,247.278870,212.968872,0.636583,0
61,4,587.652649,388.152679,257.455505,227.757599,0.650706,0
61,2,497.157654,663.480957,263.059265,234.162476,0.396102,0
62,4,595.388672,390.677002,246.147034,220.956055,0.702524,0
62,2,508.871765,670.966858,253.163269,222.976318,0.538527,0
63,4,574.180969,386.701935,271.633118,225.242767,0.615806,0
63,2,526.076111,678.184509,224.268738,214.348206,0.472801,0
64,4,579.724243,388.343903,261.726440,223.453705,0.679815,0
64,2,503.417725,668.671326,249.134888,221.707397,0.520756,0
65,4,548.931274,382.741577,279.110962,233.492981,0.710860,0
65,2,532.223145,677.852783,218.289795,211.617554,0.469891,0
66,4,548.733154,387.510193,273.324463,226.177490,0.755631,0
66,2,516.374329,666.421753,241.742188,222.316833,0.444969,0
67,4,560.876770,391.376953,267.136963,220.767639,0.690576,0
67,2,532.712341,680.642822,222.672546,210.922974,0.365066,0
68,4,548.488525,394.231079,273.461243,218.406738,0.732684,0
68,2,517.492737,664.473999,235.760132,223.153442,0.433296,0
69,4,554.123108,377.218872,274.509094,234.367676,0.708359,0
69,2,507.026398,656.214050,235.286469,230.162476,0.655119,0
70,4,549.461609,387.429077,268.785156,227.953857,0.750995,0
70,2,508.040253,657.317932,237.729034,229.944397,0.681641,0
71,4,549.019531,384.139771,275.809692,228.244690,0.716747,0
71,2,517.337769,659.218567,227.906982,227.505676,0.649537,0
72,4,545.528931,385.236633,278.998291,233.804565,0.751198,0
72,2,520.221497,659.011475,224.958801,229.640320,0.490909,0
73,4,532.245911,383.874268,280.785217,229.177979,0.738435,0
73,2,517.989441,657.710571,230.267273,229.165710,0.669831,0
74,2,520.347778,664.621582,217.880493,222.841431,0.694759,0
74,4,549.450378,392.048706,279.998169,234.204041,0.673829,0
75,4,557.703857,390.162537,272.195312,227.541504,0.736591,0
75,2,522.752563,668.918518,211.274780,214.730530,0.673310,0
75,7,821.336853,751.874451,123.274292,123.882751,0.403780,0
76,4,575.044861,394.679871,255.387085,219.551331,0.659136,0
76,7,820.156677,757.107483,122.092957,112.656982,0.551187,0
76,2,521.212341,667.486938,211.887390,220.656677,0.530601,0
77,4,559.847351,405.653015,266.435913,218.463318,0.720064,0
77,2,508.168976,658.882812,227.857391,230.304199,0.527312,0
77,7,820.459412,759.478149,120.443115,115.070496,0.304916,0
78,4,572.026184,412.642761,252.593689,215.223450,0.759464,0
78,2,515.356018,668.626587,221.231262,218.633118,0.676669,0
78,7,821.099487,758.138367,119.608154,114.626404,0.369597,0
79,4,596.432495,417.530670,231.421143,209.564056,0.765011,0
79,2,508.984375,664.886658,234.105042,227.729858,0.606919,0
79,7,822.055237,749.913818,123.129517,120.142700,0.303462,0
80,4,582.571777,425.556580,245.678833,211.543335,0.769361,0
80,2,508.440399,656.712830,231.928131,229.401672,0.668316,0
81,4,615.328186,418.505219,211.598022,219.265656,0.754452,0
81,2,507.022827,656.129944,232.195068,227.420715,0.694579,0
81,8,505.173523,374.498444,168.081177,184.832001,0.534319,0
82,4,607.085144,419.453278,216.101196,222.011932,0.756772,0
82,2,509.467377,665.424561,224.635223,218.752075,0.676717,0
83,4,607.477173,424.751709,213.445679,213.451050,0.789589,0
83,2,500.710815,652.543823,243.676392,238.221191,0.449821,0
