                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8354,                 1.2051,                 1.5073,                 0.7318,                0.47161,                0.49529,                0.13575,                 2.5569,                 1.9881,                 1.8807,             0.00066479,             0.00066479,             0.00066479
                      2,                 1.6265,                0.85432,                 1.4232,                0.75447,                0.49298,                 0.5303,                0.15138,                 2.4818,                 1.7782,                 1.8426,              0.0013051,              0.0013051,              0.0013051
                      3,                 1.5734,                 0.8259,                 1.3984,                0.74712,                0.52002,                0.54901,                 0.1673,                  2.388,                  4.384,                 1.7371,               0.001919,               0.001919,               0.001919
                      4,                 1.4895,                0.74846,                 1.3444,                0.67868,                0.47946,                0.49928,                0.14883,                 2.5503,                 1.9568,                 1.8814,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.4241,                0.70644,                 1.3198,                0.76068,                0.52159,                0.59023,                0.18267,                 2.4966,                 1.5713,                 1.7891,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.3802,                0.67717,                 1.2987,                0.75999,                0.53606,                0.57079,                0.17138,                 2.5198,                 1.6009,                 1.9062,               0.001802,               0.001802,               0.001802
                      7,                 1.3209,                 0.6498,                 1.2622,                0.74127,                0.52265,                0.56473,                0.16704,                 2.5424,                 1.4472,                 1.9396,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.2869,                0.61481,                 1.2501,                0.74143,                0.54693,                0.56081,                0.17836,                 2.4065,                 1.6039,                 1.8136,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.2657,                0.60507,                 1.2378,                0.70634,                0.51283,                0.55281,                0.17164,                  2.519,                  1.498,                 1.9029,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.1978,                0.56866,                 1.2015,                  0.683,                0.56794,                0.61198,                0.19348,                 2.4838,                 1.5051,                 1.9136,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.1844,                0.56118,                 1.1992,                0.73161,                0.55453,                0.57192,                0.17987,                 2.4389,                 1.5686,                 1.8519,               0.001604,               0.001604,               0.001604
                     12,                 1.1587,                 0.5531,                 1.1847,                 0.7599,                0.55475,                0.58522,                0.18379,                 2.4313,                 1.4201,                 1.9123,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.1204,                0.53337,                 1.1625,                0.72195,                0.53669,                0.59344,                0.17926,                 2.4909,                 1.4667,                 1.9941,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.0997,                0.52822,                 1.1585,                 0.7576,                0.53036,                0.57929,                0.17973,                 2.4652,                 1.5569,                 1.9613,              0.0014852,              0.0014852,              0.0014852
